region,city,url,disposition,local_evidence_status
"sacramento","Sacramento","https://rangeljanitorial.com/locations/sacramento/sacramento","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Downtown Sacramento","https://rangeljanitorial.com/locations/sacramento/downtown-sacramento","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Midtown Sacramento","https://rangeljanitorial.com/locations/sacramento/midtown-sacramento","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Roseville","https://rangeljanitorial.com/locations/sacramento/roseville","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Folsom","https://rangeljanitorial.com/locations/sacramento/folsom","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Rancho Cordova","https://rangeljanitorial.com/locations/sacramento/rancho-cordova","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Citrus Heights","https://rangeljanitorial.com/locations/sacramento/citrus-heights","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Natomas","https://rangeljanitorial.com/locations/sacramento/natomas","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","West Sacramento","https://rangeljanitorial.com/locations/sacramento/west-sacramento","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Carmichael","https://rangeljanitorial.com/locations/sacramento/carmichael","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Fair Oaks","https://rangeljanitorial.com/locations/sacramento/fair-oaks","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Orangevale","https://rangeljanitorial.com/locations/sacramento/orangevale","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Antelope","https://rangeljanitorial.com/locations/sacramento/antelope","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","North Highlands","https://rangeljanitorial.com/locations/sacramento/north-highlands","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Arden-Arcade","https://rangeljanitorial.com/locations/sacramento/arden-arcade","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Rocklin","https://rangeljanitorial.com/locations/sacramento/rocklin","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Lincoln","https://rangeljanitorial.com/locations/sacramento/lincoln","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Woodland","https://rangeljanitorial.com/locations/sacramento/woodland","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Davis","https://rangeljanitorial.com/locations/sacramento/davis","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Loomis","https://rangeljanitorial.com/locations/sacramento/loomis","Retain pending local content review","Needs verified local projects or distinct service details"
"sacramento","Granite Bay","https://rangeljanitorial.com/locations/sacramento/granite-bay","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Murrieta","https://rangeljanitorial.com/locations/murrieta/murrieta","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Temecula","https://rangeljanitorial.com/locations/murrieta/temecula","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","French Valley","https://rangeljanitorial.com/locations/murrieta/french-valley","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Menifee","https://rangeljanitorial.com/locations/murrieta/menifee","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Lake Elsinore","https://rangeljanitorial.com/locations/murrieta/lake-elsinore","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Hemet","https://rangeljanitorial.com/locations/murrieta/hemet","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Perris","https://rangeljanitorial.com/locations/murrieta/perris","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Wildomar","https://rangeljanitorial.com/locations/murrieta/wildomar","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Canyon Lake","https://rangeljanitorial.com/locations/murrieta/canyon-lake","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Temescal Valley","https://rangeljanitorial.com/locations/murrieta/temescal-valley","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Winchester","https://rangeljanitorial.com/locations/murrieta/winchester","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Ontario","https://rangeljanitorial.com/locations/murrieta/ontario","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Fontana","https://rangeljanitorial.com/locations/murrieta/fontana","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Rialto","https://rangeljanitorial.com/locations/murrieta/rialto","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Corona","https://rangeljanitorial.com/locations/murrieta/corona","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Riverside","https://rangeljanitorial.com/locations/murrieta/riverside","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Moreno Valley","https://rangeljanitorial.com/locations/murrieta/moreno-valley","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","San Jacinto","https://rangeljanitorial.com/locations/murrieta/san-jacinto","Retain pending local content review","Needs verified local projects or distinct service details"
